pipeline	sample	filter	variant_caller	region	region2	variant_class	TP	FP	FN	RECALL	PRECISION	F1
snpmutator	snpmutator_SV15_H1	MTBseq	GATK	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV15_H1	MTBseq	GATK	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV16_H1	RAW	freebayes	TOTAL	TOTAL	snp	796	168	4	0.995	0.8257261410788381	0.910363070539419
snpmutator	snpmutator_SV16_H1	RAW	freebayes	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV16_H1	RAW	freebayes	TOTAL	TOTAL	indel	36	68	14	0.72	0.34615384615384615	0.533076923076923
snpmutator	snpmutator_SV16_H1	RAW	freebayes	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV16_H1	RAW	freebayes	TOTAL	TOTAL	unknown	1	0	49	0.02	1.0	0.51
snpmutator	snpmutator_SV16_H1	genotube	freebayes	TOTAL	TOTAL	snp	794	0	6	0.9925	1.0	0.9962500000000001
snpmutator	snpmutator_SV16_H1	genotube	freebayes	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV16_H1	genotube	freebayes	TOTAL	TOTAL	indel	36	63	14	0.72	0.36363636363636365	0.5418181818181818
snpmutator	snpmutator_SV16_H1	genotube	freebayes	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV16_H1	genotube	freebayes	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV16_H1	TBprofiler	mpileup	TOTAL	TOTAL	snp	797	10	3	0.99625	0.9876084262701363	0.9919292131350681
snpmutator	snpmutator_SV16_H1	TBprofiler	mpileup	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV16_H1	TBprofiler	mpileup	TOTAL	TOTAL	indel	36	64	14	0.72	0.36	0.54
snpmutator	snpmutator_SV16_H1	TBprofiler	mpileup	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV16_H1	TBprofiler	mpileup	TOTAL	TOTAL	unknown	0	0	50	0.0	NA	NA
snpmutator	snpmutator_SV16_H1	RAW	GATK	TOTAL	TOTAL	snp	794	1	6	0.9925	0.9987421383647799	0.9956210691823899
snpmutator	snpmutator_SV16_H1	RAW	GATK	TOTAL	TOTAL	mnp	0	0	0	NA	NA	NA
snpmutator	snpmutator_SV16_H1	RAW	GATK	TOTAL	TOTAL	indel	36	64	14	0.72	0.36	0.54
snpmutator	snpmutator_SV16_H1	RAW	GATK	TOTAL	TOTAL	other	0	0	0	NA	NA	NA
